dom;conglomerado;peso;a01.2019;a02.2019;b_tfam.2019;b_totmorad.2019;b_cond_inf.2019;b_nfam.2019;b_nindiv.2019;b01_1.2019;b01_2.2019;b02.2019;b03.2019;b04.2019;b05.2019;b06.2019;c01.2019;c02_1.2019;c02_1a.2019;c02_1ns.2019;c02_2.2019;c02_2a.2019;c02_2ns.2019;c02_3.2019;c02_3b.2019;c02_3a.2019;c02_3ns.2019;c03_1.2019;c03_2.2019;c03_3.2019;c03_4.2019;c03_5.2019;c03_6.2019;c03_7.2019;c03_8.2019;q01.2019;q02.2019;q03.2019;q05.2019;q06.2019;d06.2019;q15.2019;q17_1.2019;q17_2.2019;q17_3.2019;q17_4.2019;q17_5.2019;q17_6.2019;q17_7.2019;q17_8.2019;q17_9.2019;q17_10.2019;d12_1.2019;d12_2.2019;d12_3.2019;d12_ns.2019;tempo_procura_desemp.2019;d16_11.2019;d16_12.2019;d16_1ns.2019;d16_21.2019;d16_22.2019;d16_2ns.2019;d16_31.2019;d16_32.2019;d16_3ns.2019;d16_41.2019;d16_42.2019;d16_4ns.2019;d16_51.2019;d16_52.2019;d16_5ns.2019;d16_61.2019;d16_62.2019;d16_6ns.2019;d16_71.2019;d16_72.2019;d16_7ns.2019;d16_81.2019;d16_82.2019;d16_8ns.2019;estuda.2019;analfabeto.2019;instrucao.2019;sit.2019;pia.2019;pea.2019;pos_ocup.2019;pos_ocup1.2019;tamanho_renda.2019;rdomic.2019;rdpc.2019;n_família_orig.2019;n_amostra_domicílio.2019;q01.2020;q02.2020;q03.2020;q04.2020;q05.2020;q06.2020;q07.2020;q08.2020;q09.2020;q10.2020;q11.2020;q12.2020;q13.2020;q14.2020;q15.2020;q16_1.2020;q16_2.2020;q16_3.2020;q16_4.2020;q16_5.2020;q17_1.2020;q17_2.2020;q17_3.2020;q17_4.2020;q17_5.2020;q17_6.2020;q17_7.2020;q17_8.2020;q17_9.2020;q17_10.2020;q18.2020;q19_aa.2020;q19_mm.2020;q19_dd.2020;tempo_ult_trab_desemp.2020;q20.2020;q21.2020;q22_aa.2020;q22_mm.2020;q22_dd.2020;tempo_ult_trab_inativo.2020;q23.2020;q24.2020;q25.2020;q26_1.2020;q26_2.2020;q26_3.2020;q26_4.2020;q26_5.2020;q26_6.2020;q26_7.2020;q26_8.2020;q26_9.2020;q26_10.2020;q26_11.2020;q26_12.2020;q26_13.2020;q27.2020;q28_1.2020;q28_2.2020;q29.2020;q30.2020;q32.2020;sit.2020;pia.2020;pea.2020;pos_ocup.2020;pos_ocup1.2020;fx_etaria.2019;setor.2020;setor.2019;fluxo20x19
47416;350;1,2857;4;2;1;3;3;1;2;2;3;49;2;2;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1100; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;3;2500;833,333333333333;3;3;2;1;1; ; ; ;46;1;3;0;1;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1000;2;1; ; ;46;1;1;1;1;1;5;5;5;101
47416;350;1,2857;4;2;1;3;3;1;3;4;4;20;2;2;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;4; ; ; ; ; ;1;1;0;0;0;0;0;0;0;0;0; ;3; ; ;12,8571428571429;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;2;1;1; ; ;3;2500;833,333333333333;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;3; ;15; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ;2;1;1; ; ;3; ; ;202
47419;352;1,2857;1;1;1;3;1;1;1;1;1;52;1;1;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;2;2;2;1;4; ; ; ; ; ;1;0;0;0;0;0;1;0;0;0;0;1; ; ; ;51,4285714285714;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;2;1;1; ; ;3;450;150;3;3;1;1;1; ; ; ;46;1;3;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;800;2;2;3;1200; ;1;1;1;1;1;5;5; ;102
47419;352;1,2857;1;1;1;3;1;1;2;2;2;55;2;1;2;1;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;2;2;2;1;1;1;9; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;450; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;1;1;1;1;1;9;8;3;450;150;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;30; ; ;360;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;51;3;1;2; ; ;5; ;6;301
47419;352;1,2857;1;1;1;3;1;1;3;4;4;25;2;1;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;2;2;2;1;4; ; ; ; ; ;1;0;1;0;0;0;1;0;0;0;0;1; ; ; ;51,4285714285714;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;2;1;1; ; ;3;450;150;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2; ; ;24;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;3;1;2; ; ;4; ; ;302
47422;352;1,2857;1;1;1;5;2;1;1;1;1;56;1;2;1;2;1;1;91; ;2; ; ;2; ; ; ;1;1;2;2;2;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;3;1;2; ; ;5;91;18,2;5;5;1;1;4;3;4; ;20;2;3;16;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;300;2;2; ; ; ;1;1;1;4;4;5;3; ;103
47422;352;1,2857;1;1;1;5;2;1;2;2;2;49;2;2;1;2;1;1;91; ;2; ; ;2; ; ; ;1;1;2;2;2;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;3;1;2; ; ;5;91;18,2;5;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;1;10; ; ;120;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;900; ;3;1;2; ; ;5; ; ;303
47431;352;1,2857;1;1;1;3;2;1;1;1;1;46;1;1;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;1;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;1;1;1;1;1;3;2000;666,666666666667;3;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9;1; ;3; ;3;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;3;1814;15;3;1;2; ; ;5; ;2;301
47431;352;1,2857;1;1;1;3;2;1;2;2;2;37;2;1;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;2;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;3;1;2; ; ;3;2000;666,666666666667;3;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;2; ; ;24;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ;3;1;2; ; ;4; ; ;303
47456;149;2,0652;4;3;1;2;3;1;1;1;1;81;2;1;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;1;1;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;3;1;2; ; ;2;-1;-1;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;3;15000; ;3;1;2; ; ;6; ; ;303
47472;358;1,2857;4;3;1;2;2;1;1;1;1;52;1;3;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1100; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;2;2300;1150;2;2;1;1;1; ; ; ;46;1;3;48;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1200;2;2; ; ;46;1;1;1;1;1;5;5;5;101
47472;358;1,2857;4;3;1;2;2;1;2;2;2;44;2;2;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1200; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;2;2300;1150;2;2;1;1;1; ; ; ;46;1;3;48;1;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1200;2;2;2;2400;46;1;1;1;1;1;5;5;5;101
47478;358;1,2857;4;3;1;8;3;1;1;1;1;54;1;3;1;5;1;1;320; ;2; ; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;4;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;5;4;8;4920;615;8;4;1;1;5;3;5; ;42;1;3;60;1;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999;2;2; ; ;42;1;1;1;11;11;5;5;5;101
47478;358;1,2857;4;3;1;8;3;1;2;2;2;54;2;3;1;3;1;1;320; ;2; ; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;1;1;1;1;1;8;4920;615;8;4;4;1;1; ; ; ;42;1;3;0;1;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999;2;1; ; ;42;1;1;1;1;1;5;5;5;101
47478;358;1,2857;4;3;1;8;3;1;3;4;4;38;1;3;1;3;1;1;320; ;2; ; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;6; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;600; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;1;1;1;11;11;8;4920;615;8;4;1;1;5;3;5; ;42;1;3;50;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999;3;2; ; ;30;1;1;1;11;11;4;5;4;101
47478;358;1,2857;4;3;1;8;3;1;4;4;4;34;1;3;1;6;1;1;320; ;2; ; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;4;4; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;5;4;8;4920;615;8;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1; ;7; ;7; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;8;99999;42;2;1;1; ; ;4; ;5;201
47480;358;1,2857;4;3;1;5;1;1;2;4;4;50;1;1;1;2;1;2; ; ;1;998; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;9; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;1;1;1;9;8;5;4346;869,2;5;3;1;1;4;3;4; ;20;2;3;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;120;2;2;5;3000;51;1;1;1;4;4;5;3;6;101
47480;358;1,2857;4;3;1;5;1;1;3;4;4;46;1;1;1;2;1;2; ; ;1;998; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;4;4; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;1;1;1;5;4;5;4346;869,2;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ;6; ;6; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;14;2;1;1; ; ;5; ;2;201
47480;358;1,2857;4;3;1;5;1;1;4;4;4;36;2;1;1;5;1;2; ; ;1;998; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;4;4; ;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;150; ;2; ; ;2; ; ;2; ; ;2; ; ;1;200; ;2; ; ;2; ; ;3;3;5;1;1;1;5;4;5;4346;869,2;5;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1;5; ; ;60;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ;99;3;1;2; ; ;4; ;99;301
47481;358;1,2857;4;3;1;5;2;1;1;1;1;56;1;1;1;3;1;2; ; ;1;998; ;2; ; ; ;1;1;1;2;1;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;3;1;2; ; ;5;4448;889,6;5;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2; ; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;3;1;2; ; ;5; ; ;303
47481;358;1,2857;4;3;1;5;2;1;2;2;2;39;2;1;1;7;1;2; ; ;1;998; ;2; ; ; ;1;1;1;2;1;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3200; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;5;4448;889,6;5;2;1;1;1; ; ; ;30;1;3;44;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2400;2;2;5;5000;30;1;1;1;1;1;4;4;4;101
47483;360;1,2857;4;2;1;3;2;1;1;1;1;43;1;1;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2200; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;3;4200;1400;3;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1;1; ; ;1; ; ; ; ; ;1; ;11; ;11; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;30;2;1;1; ; ;5; ;4;201
47483;360;1,2857;4;2;1;3;2;1;2;2;2;34;2;1;1;7;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;2;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;3;4200;1400;3;2;1;1;1; ; ; ;46;5;2;40;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;99999;2;2;3;2000;46;1;1;1;1;1;4;5;5;101
47492;360;1,2857;4;2;1;2;3;1;1;1;1;36;2;3;1;7;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;2;1;2;2000;1000;2;2;1;1;1; ; ; ;45;1;1;60;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3000;2;2;2;3000;45;1;1;1;1;1;4;5;5;101
47492;360;1,2857;4;2;1;2;3;1;2;4;4;21;2;3;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;3;1;2; ; ;2;2000;1000;2;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;5; ; ;60;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;3;1;2; ; ;3; ; ;303
47493;360;1,2857;4;3;1;5;1;1;1;1;1;35;1;2;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;5;4800;960;5;2;1;1;1; ; ; ;41;1;3;40;1;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1100;2;2;5;2500;41;1;1;1;1;1;4;5;5;101
47493;360;1,2857;4;3;1;5;1;1;2;2;2;29;2;2;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;8; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1300; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;8;8;5;4800;960;5;2;1;1;8; ; ; ;51;2;3;48;1;3;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1200;1;2; ; ;51;1;1;1;8;8;4;6;6;101
47494;360;1,2857;4;2;2;6;2;1;1;1;1;49;1;3;1;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;4;4; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;5;4;6;10000;1666,66666666667;6;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ;9; ;9;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ;41;3;1;2; ; ;5; ;5;301
47494;360;1,2857;4;2;2;6;2;1;2;2;2;43;2;3;1;8;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;7;1;1;1;1;1;6;10000;1666,66666666667;6;5;1;1;3; ; ; ;49;1;3;40;1;3;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4300;2;2;4;4300;49;1;1;1;3;1;5;5;5;101
47494;360;1,2857;4;2;2;6;2;1;3;4;4;21;1;3;10;6;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2000; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;3;5;1;1;1;1;1;6;10000;1666,66666666667;6;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1; ;11; ;11;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ;43;3;1;2; ; ;3; ;5;301
47494;360;1,2857;4;2;2;6;2;1;4;4;4;18;1;3;9;5;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;3;5;3;1;2; ; ;6;10000;1666,66666666667;6;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ; ;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ;3;1;2; ; ;3; ; ;303
47503;177;1,1912;4;1;1;3;1;1;1;1;1;36;2;1;1;5;2;9; ; ;9; ; ;9; ; ; ;2;2;2;2;2;2;2;1;1;1;4;1; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1500; ;2; ; ;2; ; ;2; ; ;2; ; ;1;500; ;2; ; ;2; ; ;3;3;5;1;1;1;4;4;3;2000;666,666666666667;3;1;1;1;4;3;4; ;14;5;3;20;1;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;500;1;2;3;1100;14;1;1;1;4;4;4;2;2;101
47504;177;1,1912;4;1;1;2;1;1;1;1;1;41;1;1;1;4;2;9; ; ;9; ; ;9; ; ; ;1;1;1;1;2;2;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;800; ;3;3;3;3;1;2; ; ;2;800;400;2;1;1;1;1; ; ; ;20;8;3;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1200;1;2;3;1200; ;1;1;1;1;1;5;3; ;103
47505;177;1,1912;4;1;1;2;1;1;1;1;1;51;2;1;1;2;2;9; ; ;9; ; ;9; ; ; ;1;1;2;2;1;2;2;1;1;2;4;4; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;2;1;1;1;5;4;2;-1;-1;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1; ; ;12; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;2;600;99;2;1;1; ; ;5; ;99;201
47516;249;1,3091;4;2;1;2;2;1;1;1;1;64;1;2;1;3;2;9; ; ;9; ; ;9; ; ; ;1;1;1;2;2;2;2;1;1;1;1; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;9;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;1;1;1;1;1;2;-1;-1;2;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;1;1; ; ;12;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2090;12;3;1;2; ; ;6; ;2;301
47533;183;1,2857;4;1;1;2;1;1;1;1;1;55;2;1;1;5;9;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;1;1;1;2;1; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1675; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;5;1;1;1;1;1;2;1675;837,5;2;2;1;1;8; ; ; ;51;2;3;32;1;3;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1100;2;2;2;1700;99;1;1;1;8;8;5;6;99;101
47533;183;1,2857;4;1;1;2;1;1;2;6;6;54;1;1;1;4;9;9; ; ;9; ; ;9; ; ; ;1;1;1;2;1;2;1;1;4; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;3;3;3;3;1;2; ; ;2;1675;837,5;2;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;1;1;3; ;15;1;40;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ; ;3;1;2; ; ;5; ; ;303
